"serviceName";"bind_id";"service_cat_id";"description_1";"description_2";"description_3";"image";"appointment_iframe";"createdAt";"updatedAt"
"GP consultations";0;0;"General GP consultations";"Health promotion";"Telephone and Email consultations";"@/assets/services/gp-consultations.png";"";"2023-01-25 11:37:27";"2023-01-25 11:37:27"
"Occupational Health";4;1;"Employment medicals";"Visa medicals";"";"@/assets/services/occupational-health.png";"";"2023-01-25 11:40:54";"2023-01-25 11:40:54"
"Sexual Health";2;2;"HIV test";"FAST testing - same day results";"Full sexual health screen";"@/assets/services/sexual-health.png";"";"2023-01-25 11:38:28";"2023-01-25 11:38:28"
"Specific Health Tests";3;3;"Blood tests";"Lung function test";"Pregnancy Test";"@/assets/services/specific-health-tests.png";"";"2023-01-25 11:39:53";"2023-01-25 11:39:53"
"General Health Screens";8;4;"Key Health and Cardiovascular checks";"Well man screening";"Well woman screenings";"@/assets/services/general-health-screens";"";"2023-01-25 11:40:21";"2023-01-25 11:40:21"
"Vaccinations";9;5;"Meningitis B vaccinations";"Chickenpox vaccinations";"HPV vaccinations";"@/assets/services/vaccinations.png";"";"2023-01-25 11:41:35";"2023-01-25 12:12:01"
"Travel Medication";12;6;"Travel vaccinations";"Anti-malarial medication";"Travel Clinic Consultation";"@/assets/services/travel-medication.png";"";"2023-01-25 11:42:00";"2023-01-25 12:12:01"
"Aesthetics & Skincare";7;7;"Botox";"Obagi";"";"@/assets/services/aesthetics-&-skincare.png";"";"2023-01-25 11:42:21";"2023-01-25 11:42:21"
"Woundcare";13;8;"ongoing care (for chronic wounds)";"cleansing packs and specialist dressings";"";"";"";"2023-01-31 14:06:25";"2023-01-31 14:06:25"
"test";14;9;"Wrinkle reduction treatment";"Fillers";"";"";"";"2023-02-18 13:52:20";"2023-02-18 13:52:20"
"test";15;10;"Wrinkle reduction treatment";"Fillers";"";"";"";"2023-02-18 13:52:21";"2023-02-18 13:52:21"
